gene	phenotyp
ENSG00000285947,GH1,GH-LCR	Kowarski-syndrome,-262650-(3),-Autosomal-recessive;-Growth-hormone-deficiency,-isolated,-type-II,-173100-(3),-Autosomal-dominant;-Growth-hormone-deficiency,-isolated,-type-IB,-612781-(3);-Growth-hormone-deficiency,-isolated,-type-IA,-262400-(3),-Autosomal-recessive
ENSG00000285953,KRIT1	Hyperkeratotic-cutaneous-capillary-venous-malformations-associated-with-cerebral-capillary-malformations,-116860-(3),-Autosomal-dominant;-Cerebral-cavernous-malformations-1,-116860-(3),-Autosomal-dominant;-Cavernous-malformations-of-CNS-and-retina,-116860-(3),-Autosomal-dominant
ENSG00000285982,SLC25A32	?Exercise-intolerance,-riboflavin-responsive,-616839-(3),-Autosomal-recessive
ENSG00000286022,TGM3	?Uncombable-hair-syndrome-2,-617251-(3),-Autosomal-recessive
ENSG00000286143,SPEG	Centronuclear-myopathy-5,-615959-(3),-Autosomal-recessive
ENSG00000286224,PCNT	Microcephalic-osteodysplastic-primordial-dwarfism,-type-II,-210720-(3),-Autosomal-recessive
ENSG00000286235,MCM8	?Premature-ovarian-failure-10,-612885-(3),-Autosomal-recessive
ENSG00000288053,WDR45	Neurodegeneration-with-brain-iron-accumulation-5,-300894-(3),-X-linked-dominant
ENSG00000288570	Leukemia,-Philadelphia-chromosome-positive,-resistant-to-imatinib,-608232-(3),-Somatic-mutation;-Congenital-heart-defects-and-skeletal-malformations-syndrome,-617602-(3),-Autosomal-dominant
ENSG00000288608	?Osteopetrosis,-autosomal-recessive-9,-620366-(3),-Autosomal-recessive
ENSG00000288637,TRIM2	Charcot-Marie-Tooth-disease,-type-2R,-615490-(3),-Autosomal-recessive
ENSG00000288645,TRPM7	{Amyotrophic-lateral-sclerosis-parkinsonism/dementia-complex,-susceptibility-to},-105500-(3),-Autosomal-dominant
ENSG00000288661	Developmental-and-epileptic-encephalopathy-8,-300607-(3),-X-linked
ENSG00000288675	Developmental-and-epileptic-encephalopathy-3,-609304-(3),-Autosomal-recessive
ENSG00000288677,HRURF	Atrichia-with-papular-lesions,-209500-(3),-Autosomal-recessive;-Alopecia-universalis,-203655-(3),-Autosomal-recessive
ENSG00000288677,HRURF	Hypotrichosis-4,-146550-(3),-Autosomal-dominant
ENSG00000288684,SMIM27,TOPORS	Retinitis-pigmentosa-31,-609923-(3),-Autosomal-dominant
ENSG00000288684,TOPORS	Retinitis-pigmentosa-31,-609923-(3),-Autosomal-dominant
ENSG00000288695	Kahrizi-syndrome,-612713-(3),-Autosomal-recessive;-Congenital-disorder-of-glycosylation,-type-Iq,-612379-(3),-Autosomal-recessive
ENSG00000288695,SRD5A3	Kahrizi-syndrome,-612713-(3),-Autosomal-recessive;-Congenital-disorder-of-glycosylation,-type-Iq,-612379-(3),-Autosomal-recessive
ENSG00000289325	Arrhythmogenic-right-ventricular-dysplasia-13,-615616-(3),-Autosomal-dominant
ENSG00000289360	O'Donnell-Luria-Rodan-syndrome,-618512-(3),-Autosomal-dominant
ENSG00000289490	Pulmonary-hypertension,-familial-primary,-1,-with-or-without-HHT,-178600-(3),-Autosomal-dominant;-Pulmonary-hypertension,-primary,-fenfluramine-or-dexfenfluramine-associated,-178600-(3),-Autosomal-dominant;-Pulmonary-venoocclusive-disease-1,-265450-(3),-Autosomal-dominant
ENSG00000289692	C1q-deficiency-3,-620322-(3),-Autosomal-recessive
ENSG00000289715	Odontohypophosphatasia,-146300-(3),-Autosomal-dominant,-Autosomal-recessive;-Hypophosphatasia,-infantile,-241500-(3),-Autosomal-recessive;-Hypophosphatasia,-childhood,-241510-(3),-Autosomal-recessive;-Hypophosphatasia,-adult,-146300-(3),-Autosomal-dominant,-Autosomal-recessive
ENTPD1	Spastic-paraplegia-64,-autosomal-recessive,-615683-(3),-Autosomal-recessive
ENTPD7	Mitochondrial-complex-IV-deficiency,-nuclear-type-6,-615119-(3),-Autosomal-recessive
EOGT	Adams-Oliver-syndrome-4,-615297-(3),-Autosomal-recessive
EP300	Menke-Hennekam-syndrome-2,-618333-(3),-Autosomal-dominant;-Colorectal-cancer,-somatic,-114500-(3);-Rubinstein-Taybi-syndrome-2,-613684-(3),-Autosomal-dominant
EPAS1	Erythrocytosis,-familial,-4,-611783-(3),-Autosomal-dominant
EPB41	Elliptocytosis-1,-611804-(3),-Autosomal-dominant,-Autosomal-recessive
EPB41L1	?Intellectual-developmental-disorder,-autosomal-dominant-11,-614257-(3),-Autosomal-dominant
EPB42	Spherocytosis,-type-5,-612690-(3)
EPCAM	Diarrhea-5,-with-tufting-enteropathy,-congenital,-613217-(3),-Autosomal-recessive;-Lynch-syndrome-8,-613244-(3),-Autosomal-dominant
EPG5	Vici-syndrome,-242840-(3),-Autosomal-recessive;-Neurodevelopmental-disorder-with-parkinsonism-or-other-movement-abnormalities,-621506-(3)
EPHA10	?Deafness,-autosomal-dominant-88,-620283-(3),-Autosomal-dominant
EPHA2	Cataract-6,-multiple-types,-116600-(3),-Autosomal-dominant
EPHB2	?Bleeding-disorder,-platelet-type,-22,-618462-(3),-Autosomal-recessive;-{Prostate-cancer/brain-cancer-susceptibility,-somatic},-603688-(3)
EPHB4	Capillary-malformation-arteriovenous-malformation-2,-618196-(3),-Autosomal-dominant;-Lymphatic-malformation-7,-617300-(3),-Autosomal-dominant
EPHB4,SLC12A9	Capillary-malformation-arteriovenous-malformation-2,-618196-(3),-Autosomal-dominant;-Lymphatic-malformation-7,-617300-(3),-Autosomal-dominant
EPHX1	Leukodystrophy,-hypomyelinating,-19,-transient-infantile,-618688-(3),-Autosomal-dominant
EPHX2	{Hypercholesterolemia,-familial,-due-to-LDLR-defect,-modifier-of},-143890-(3),-Autosomal-dominant,-Autosomal-recessive
EPM2A	Myoclonic-epilepsy-of-Lafora-1,-254780-(3),-Autosomal-recessive
EPN2	?Meckel-syndrome-9,-614209-(3),-Autosomal-recessive;-Joubert-syndrome-27,-617120-(3),-Autosomal-recessive
EPO	{Microvascular-complications-of-diabetes-2},-612623-(3);-Erythrocytosis,-familial,-5,-617907-(3),-Autosomal-dominant;-?Diamond-Blackfan-anemia-like,-617911-(3),-Autosomal-recessive
EPOR	[Erythrocytosis,-familial,-1],-133100-(3),-Autosomal-dominant
EPRS1	Leukodystrophy,-hypomyelinating,-15,-617951-(3),-Autosomal-recessive
EPS8	?Deafness,-autosomal-recessive-102,-615974-(3),-Autosomal-recessive
EPS8L2	Deafness-autosomal-recessive-106,-617637-(3),-Autosomal-recessive
EPS8L3	?Hypotrichosis-5,-612841-(3),-Autosomal-dominant
EPX	[Eosinophil-peroxidase-deficiency],-261500-(3),-Autosomal-recessive
ERAL1	Perrault-syndrome-6,-617565-(3),-Autosomal-recessive
ERAP1	Peeling-skin-with-leukonychia,-acral-punctate-keratoses,-cheilitis,-and-knuckle-pads,-616295-(3),-Autosomal-recessive
ERBB2	Gastric-cancer,-somatic,-613659-(3);-Adenocarcinoma-of-lung,-somatic,-211980-(3);-Ovarian-cancer,-somatic,-167000-(3);-?Visceral-neuropathy,-familial,-2,-autosomal-recessive,-619465-(3),-Autosomal-recessive;-Glioblastoma,-somatic,-137800-(3)
ERBB3	?Lethal-congenital-contractural-syndrome-2,-607598-(3),-Autosomal-recessive;-{?Erythroleukemia,-familial,-susceptibility-to},-133180-(3),-Autosomal-dominant;-Visceral-neuropathy,-familial,-1,-autosomal-recessive,-243180-(3),-Autosomal-recessive
ERBB4	Amyotrophic-lateral-sclerosis-19,-615515-(3),-Autosomal-dominant
ERCC1	Cerebrooculofacioskeletal-syndrome-4,-610758-(3),-Autosomal-recessive
ERCC1,POLR1G	Cerebrooculofacioskeletal-syndrome-4,-610758-(3),-Autosomal-recessive
ERCC2	Xeroderma-pigmentosum,-group-D,-278730-(3),-Autosomal-recessive;-Trichothiodystrophy-1,-photosensitive,-601675-(3),-Autosomal-recessive;-?Cerebrooculofacioskeletal-syndrome-2,-610756-(3),-Autosomal-recessive
ERCC3	Trichothiodystrophy-2,-photosensitive,-616390-(3),-Autosomal-recessive;-Xeroderma-pigmentosum,-group-B,-610651-(3),-Autosomal-recessive
ERCC4	Xeroderma-pigmentosum,-type-F/Cockayne-syndrome,-278760-(3),-Autosomal-recessive;-XFE-progeroid-syndrome,-610965-(3),-Autosomal-recessive;-Xeroderma-pigmentosum,-group-F,-278760-(3),-Autosomal-recessive;-Fanconi-anemia,-complementation-group-Q,-615272-(3),-Autosomal-recessive
ERCC5	Xeroderma-pigmentosum,-group-G,-278780-(3),-Autosomal-recessive;-Cerebrooculofacioskeletal-syndrome-3,-616570-(3),-Autosomal-recessive;-Xeroderma-pigmentosum,-group-G/Cockayne-syndrome,-278780-(3),-Autosomal-recessive
ERCC6	UV-sensitive-syndrome-1,-600630-(3),-Autosomal-recessive;-Cerebrooculofacioskeletal-syndrome-1,-214150-(3),-Autosomal-recessive;-?De-Sanctis-Cacchione-syndrome,-278800-(3),-Autosomal-recessive;-Cockayne-syndrome,-type-B,-133540-(3),-Autosomal-recessive;-{Macular-degeneration,-age-related,-susceptibility-to,-5},-613761-(3);-Premature-ovarian-failure-11,-616946-(3),-Autosomal-dominant;-{Lung-cancer,-susceptibility-to},-211980-(3),-Autosomal-dominant,-Somatic-mutation
ERCC6,ERCC6-PGBD3	UV-sensitive-syndrome-1,-600630-(3),-Autosomal-recessive;-Cerebrooculofacioskeletal-syndrome-1,-214150-(3),-Autosomal-recessive;-?De-Sanctis-Cacchione-syndrome,-278800-(3),-Autosomal-recessive;-Cockayne-syndrome,-type-B,-133540-(3),-Autosomal-recessive;-{Macular-degeneration,-age-related,-susceptibility-to,-5},-613761-(3);-Premature-ovarian-failure-11,-616946-(3),-Autosomal-dominant;-{Lung-cancer,-susceptibility-to},-211980-(3),-Autosomal-dominant,-Somatic-mutation
ERCC6L2	Bone-marrow-failure-syndrome-2,-615715-(3),-Autosomal-recessive
ERCC6,PGBD3	UV-sensitive-syndrome-1,-600630-(3),-Autosomal-recessive;-Cerebrooculofacioskeletal-syndrome-1,-214150-(3),-Autosomal-recessive;-?De-Sanctis-Cacchione-syndrome,-278800-(3),-Autosomal-recessive;-Cockayne-syndrome,-type-B,-133540-(3),-Autosomal-recessive;-{Macular-degeneration,-age-related,-susceptibility-to,-5},-613761-(3);-Premature-ovarian-failure-11,-616946-(3),-Autosomal-dominant;-{Lung-cancer,-susceptibility-to},-211980-(3),-Autosomal-dominant,-Somatic-mutation
ERCC8	UV-sensitive-syndrome-2,-614621-(3),-Autosomal-recessive;-Cockayne-syndrome,-type-A,-216400-(3),-Autosomal-recessive
ERCC8,NDUFAF2	Mitochondrial-complex-I-deficiency,-nuclear-type-10,-618233-(3),-Autosomal-recessive
ERF	Craniosynostosis-4,-600775-(3),-Autosomal-dominant;-Chitayat-syndrome,-617180-(3),-Autosomal-dominant
ERFL	?Immunodeficiency-62,-618459-(3),-Autosomal-recessive
ERG	Lymphatic-malformation-14,-620602-(3),-Autosomal-dominant
ERGIC1	?Arthrogryposis-multiplex-congenita-2,-neurogenic-type,-208100-(3),-Autosomal-recessive
ERI1	Hoxha-Aliu-syndrome,-620662-(3),-Autosomal-recessive;-Spondyloepimetaphyseal-dysplasia,-Guo-Campeau-type,-620663-(3),-Autosomal-recessive
ERLIN1	Spastic-paraplegia-62,-autosomal-recessive,-615681-(3),-Autosomal-recessive
ERLIN2	Spastic-paraplegia-18A,-autosomal-dominant,-620512-(3),-Autosomal-dominant;-Spastic-paraplegia-18B,-autosomal-recessive,-611225-(3),-Autosomal-recessive
ERMAP	[Blood-group,-Scianna-system],-111750-(3);-[Blood-group,-Radin],-111620-(3)
ERMARD	?Periventricular-nodular-heterotopia-6,-615544-(3),-Autosomal-dominant
ERMP1	CATIFA-syndrome,-618761-(3),-Autosomal-recessive
ERVW-1	?Cardiomyopathy,-dilated,-2B,-614672-(3),-Autosomal-recessive
ESAM	Neurodevelopmental-disorder-with-intracranial-hemorrhage,-seizures,-and-spasticity,-620371-(3),-Autosomal-recessive
ESCO2	Juberg-Hayward-syndrome,-216100-(3),-Autosomal-recessive;-Roberts-SC-phocomelia-syndrome,-268300-(3),-Autosomal-recessive
ESPN	Deafness,-autosomal-recessive-36,-609006-(3),-Autosomal-dominant,-Autosomal-recessive;-Deafness,-autosomal-dominant-91,-621556-(3),-Autosomal-dominant;-?Usher-syndrome,-type-1M,-618632-(3),-Autosomal-recessive
ESR1	Arthrogryposis-multiplex-congenita-3,-myogenic-type,-618484-(3),-Autosomal-recessive;-Emery-Dreifuss-muscular-dystrophy-4,-autosomal-dominant,-612998-(3),-Autosomal-dominant;-Spinocerebellar-ataxia,-autosomal-recessive-8,-610743-(3),-Autosomal-recessive
ESR1	Breast-cancer,-somatic,-114480-(3);-{Migraine,-susceptibility-to},-157300-(3),-Autosomal-dominant;-Estrogen-resistance,-615363-(3),-Autosomal-recessive;-{Myocardial-infarction,-susceptibility-to},-608446-(3)
ESR2	Emery-Dreifuss-muscular-dystrophy-5,-autosomal-dominant,-612999-(3),-Autosomal-dominant
ESR2	?Ovarian-dysgenesis-8,-618187-(3),-Autosomal-dominant
ESRP1	?Deafness,-autosomal-recessive-109,-618013-(3),-Autosomal-recessive
ESRRB	Deafness,-autosomal-recessive-35,-608565-(3),-Autosomal-recessive
ETFA	Glutaric-acidemia-IIA,-231680-(3),-Autosomal-recessive
ETFB	Glutaric-acidemia-IIB,-231680-(3),-Autosomal-recessive
ETFDH	Glutaric-acidemia-IIC,-231680-(3),-Autosomal-recessive
ETFRF1	Gastric-cancer,-somatic,-613659-(3);-Oculoectodermal-syndrome,-somatic,-600268-(3);-Breast-cancer,-somatic,-114480-(3);-Noonan-syndrome-3,-609942-(3),-Autosomal-dominant;-RAS-associated-autoimmune-leukoproliferative-disorder,-614470-(3),-Autosomal-dominant;-Arteriovenous-malformation-of-the-brain,-somatic,-108010-(3);-Lung-cancer,-somatic,-211980-(3);-Pancreatic-carcinoma,-somatic,-260350-(3);-Leukemia,-acute-myeloid,-somatic,-601626-(3);-Schimmelpenning-Feuerstein-Mims-syndrome,-somatic-mosaic,-163200-(3);-Cardiofaciocutaneous-syndrome-2,-615278-(3),-Autosomal-dominant;-Bladder-cancer,-somatic,-109800-(3)
ETHE1	Ethylmalonic-encephalopathy,-602473-(3),-Autosomal-recessive
ETHE1,ZNF575	Ethylmalonic-encephalopathy,-602473-(3),-Autosomal-recessive
ETV6	Thrombocytopenia-5,-616216-(3),-Autosomal-dominant;-Leukemia,-acute-myeloid,-somatic,-601626-(3)
EVC	Ellis-van-Creveld-syndrome,-225500-(3),-Autosomal-recessive;-?Weyers-acrofacial-dysostosis,-193530-(3),-Autosomal-dominant
EVC2	Ellis-van-Creveld-syndrome,-225500-(3),-Autosomal-recessive;-Weyers-acrofacial-dysostosis,-193530-(3),-Autosomal-dominant
EVC,EVC2	Ellis-van-Creveld-syndrome,-225500-(3),-Autosomal-recessive;-Weyers-acrofacial-dysostosis,-193530-(3),-Autosomal-dominant
EVI2A	Watson-syndrome,-193520-(3),-Autosomal-dominant;-Leukemia,-juvenile-myelomonocytic,-607785-(3),-Autosomal-dominant,-Somatic-mutation;-Neurofibromatosis,-familial-spinal,-162210-(3),-Autosomal-dominant;-Neurofibromatosis,-type-1,-162200-(3),-Autosomal-dominant;-Neurofibromatosis-Noonan-syndrome,-601321-(3),-Autosomal-dominant
EVI2B	Watson-syndrome,-193520-(3),-Autosomal-dominant;-Leukemia,-juvenile-myelomonocytic,-607785-(3),-Autosomal-dominant,-Somatic-mutation;-Neurofibromatosis,-familial-spinal,-162210-(3),-Autosomal-dominant;-Neurofibromatosis,-type-1,-162200-(3),-Autosomal-dominant;-Neurofibromatosis-Noonan-syndrome,-601321-(3),-Autosomal-dominant
EWSR1	Neuroepithelioma,-612219-(3);-Ewing-sarcoma,-612219-(3)
EXOC2	Neurodevelopmental-disorder-with-dysmorphic-facies-and-cerebellar-hypoplasia,-619306-(3),-Autosomal-recessive
EXOC3L2	Brain-malformation-renal-syndrome,-620943-(3),-Autosomal-recessive
EXOC3L2	Hermansky-Pudlak-syndrome-8,-614077-(3),-Autosomal-recessive
EXOC6B	Spondyloepimetaphyseal-dysplasia-with-joint-laxity,-type-3,-618395-(3),-Autosomal-recessive
EXOC7	Neurodevelopmental-disorder-with-seizures-and-brain-atrophy,-619072-(3),-Autosomal-recessive
EXOC8	?Neurodevelopmental-disorder-with-microcephaly,-seizures,-and-brain-atrophy,-619076-(3),-Autosomal-recessive
EXOSC1	?Pontocerebellar-hypoplasia,-type-1F,-619304-(3),-Autosomal-recessive
EXOSC2	Short-stature,-hearing-loss,-retinitis-pigmentosa,-and-distinctive-facies,-617763-(3),-Autosomal-recessive
EXOSC3	Pontocerebellar-hypoplasia,-type-1B,-614678-(3),-Autosomal-recessive
EXOSC5	Cerebellar-ataxia,-brain-abnormalities,-and-cardiac-conduction-defects,-619576-(3),-Autosomal-recessive
EXOSC8	Pontocerebellar-hypoplasia,-type-1C,-616081-(3),-Autosomal-recessive
EXOSC9	Pontocerebellar-hypoplasia,-type-1D,-618065-(3),-Autosomal-recessive
EXPH5	Epidermolysis-bullosa-simplex-4,-localized-or-generalized-intermediate,-autosomal-recessive,-615028-(3),-Autosomal-recessive
EXT1	Exostoses,-multiple,-type-1,-133700-(3),-Autosomal-dominant;-Chondrosarcoma,-215300-(3),-Somatic-mutation
EXT2	Seizures,-scoliosis,-and-macrocephaly-syndrome,-616682-(3),-Autosomal-recessive;-Exostoses,-multiple,-type-2,-133701-(3),-Autosomal-dominant
EXTL3	Immunoskeletal-dysplasia-with-neurodevelopmental-abnormalities,-617425-(3),-Autosomal-recessive
EYA1	Branchiootic-syndrome-1,-602588-(3),-Autosomal-dominant;-Branchiootorenal-syndrome-1,-with-or-without-cataracts,-113650-(3),-Autosomal-dominant;-Anterior-segment-anomalies-with-or-without-cataract,-602588-(3),-Autosomal-dominant;-?Otofaciocervical-syndrome,-166780-(3),-Autosomal-dominant
EYA4	?Cardiomyopathy,-dilated,-1J,-605362-(3),-Autosomal-dominant;-Deafness,-autosomal-dominant-10,-601316-(3),-Autosomal-dominant
EYS	Retinitis-pigmentosa-25,-602772-(3),-Autosomal-recessive
EYS,PHF3	Retinitis-pigmentosa-25,-602772-(3),-Autosomal-recessive
EZH2	Weaver-syndrome,-277590-(3),-Autosomal-dominant
F10	Factor-X-deficiency,-227600-(3),-Autosomal-recessive
F11	Factor-XI-deficiency,-autosomal-dominant,-612416-(3);-Factor-XI-deficiency,-autosomal-recessive,-612416-(3)
F12	Angioedema,-hereditary,-3,-610618-(3),-Autosomal-dominant;-Factor-XII-deficiency,-234000-(3),-Autosomal-recessive
F12,SLC34A1	Angioedema,-hereditary,-3,-610618-(3),-Autosomal-dominant;-Factor-XII-deficiency,-234000-(3),-Autosomal-recessive
F12,SLC34A1	?Fanconi-renotubular-syndrome-2,-613388-(3),-Autosomal-recessive;-Hypercalcemia,-infantile,-2,-616963-(3),-Autosomal-recessive;-Nephrolithiasis/osteoporosis,-hypophosphatemic,-1,-612286-(3),-Autosomal-dominant
F13A1	Factor-XIIIA-deficiency,-613225-(3),-Autosomal-recessive;-{Myocardial-infarction,-protection-against},-608446-(3);-{Venous-thrombosis,-protection-against},-188050-(3),-Autosomal-dominant
F13B	Factor-XIIIB-deficiency,-613235-(3),-Autosomal-recessive
F2	Hypoprothrombinemia,-613679-(3),-Autosomal-recessive;-{Pregnancy-loss,-recurrent,-susceptibility-to,-2},-614390-(3),-Autosomal-dominant;-Dysprothrombinemia,-613679-(3),-Autosomal-recessive;-Thrombophilia-1-due-to-thrombin-defect,-188050-(3),-Autosomal-dominant;-{Stroke,-ischemic,-susceptibility-to},-601367-(3),-Multifactorial
F5	Thrombophilia-2-due-to-activated-protein-C-resistance,-188055-(3),-Autosomal-dominant;-{Pregnancy-loss,-recurrent,-susceptibility-to,-1},-614389-(3),-Autosomal-dominant;-{Thrombophilia,-susceptibility-to,-due-to-factor-V-Leiden},-188055-(3),-Autosomal-dominant;-{Budd-Chiari-syndrome},-600880-(3),-Autosomal-recessive;-{Stroke,-ischemic,-susceptibility-to},-601367-(3),-Multifactorial;-Factor-V-deficiency,-227400-(3),-Autosomal-recessive
F7	{Myocardial-infarction,-decreased-susceptibility-to},-608446-(3);-Factor-VII-deficiency,-227500-(3),-Autosomal-recessive
F8	Thrombophilia-13,-X-linked,-due-to-factor-VIII-defect,-301071-(3),-X-linked;-Hemophilia-A,-306700-(3),-X-linked-recessive
F8A1	Thrombophilia-13,-X-linked,-due-to-factor-VIII-defect,-301071-(3),-X-linked;-Hemophilia-A,-306700-(3),-X-linked-recessive
F9	{Deep-venous-thrombosis,-protection-against},-300807-(3),-X-linked-recessive;-Hemophilia-B,-306900-(3),-X-linked-recessive;-Thrombophilia-8,-X-linked,-due-to-factor-IX-defect,-300807-(3),-X-linked-recessive;-{Warfarin-sensitivity},-301052-(3),-X-linked
FA2H	Spastic-paraplegia-35,-autosomal-recessive,-612319-(3),-Autosomal-recessive
FAAH	{Drug-addiction,-susceptibility-to},-606581-(3)
FAAP100	Fanconi-anemia,-complementation-group-X,-621258-(3),-Autosomal-recessive
FADD	Immunodeficiency-90-with-encephalopathy,-functional-hyposplenia,-and-hepatic-dysfunction,-613759-(3),-Autosomal-recessive
FAH	Tyrosinemia,-type-I,-276700-(3),-Autosomal-recessive
FAHD1	Premature-ovarian-failure-23,-620686-(3),-Autosomal-recessive;-Spermatogenic-failure-22,-617706-(3),-Autosomal-recessive
FAHD1,MEIOB	Premature-ovarian-failure-23,-620686-(3),-Autosomal-recessive;-Spermatogenic-failure-22,-617706-(3),-Autosomal-recessive
FAM111A	Kenny-Caffey-syndrome,-type-2,-127000-(3),-Autosomal-dominant;-Gracile-bone-dysplasia,-602361-(3),-Autosomal-dominant
FAM111B	Poikiloderma,-hereditary-fibrosing,-with-tendon-contractures,-myopathy,-and-pulmonary-fibrosis,-615704-(3),-Autosomal-dominant
FAM120B	Neurodevelopmental-disorder-with-nonspecific-brain-abnormalities-and-with-or-without-seizures,-618709-(3),-Autosomal-dominant
FAM126A	Leukodystrophy,-hypomyelinating,-5,-610532-(3),-Autosomal-recessive
FAM149B1	Joubert-syndrome-36,-618763-(3),-Autosomal-recessive
FAM161A	Retinitis-pigmentosa-28,-606068-(3),-Autosomal-recessive
FAM166A	Leber-congenital-amaurosis-with-early-onset-deafness,-617879-(3),-Autosomal-dominant
FAM166B	Intellectual-developmental-disorder,-autosomal-recessive-61,-617773-(3),-Autosomal-recessive
FAM177A1	Neurodevelopmental-disorder-with-white-matter-abnormalities-and-gait-disturbance,-621152-(3),-Autosomal-recessive
FAM187A,GFAP	Alexander-disease,-203450-(3),-Autosomal-dominant
FAM187A,GFAP	Ciliary-dyskinesia,-primary,-17,-614679-(3),-Autosomal-recessive
FAM20A	Amelogenesis-imperfecta,-type-IG-(enamel-renal-syndrome),-204690-(3),-Autosomal-recessive
FAM20A	Pigmented-nodular-adrenocortical-disease,-primary,-1,-610489-(3),-Autosomal-dominant;-Acrodysostosis-1,-with-or-without-hormone-resistance,-101800-(3),-Autosomal-dominant;-Adrenocortical-tumor,-somatic-(3);-Carney-complex,-type-1,-160980-(3),-Autosomal-dominant;-Myxoma,-intracardiac,-255960-(3),-Autosomal-dominant
FAM20C	Raine-syndrome,-259775-(3),-Autosomal-recessive
FAM237B	Spermatogenic-failure-24,-617959-(3),-Autosomal-recessive
FAM47E	Epilepsy,-progressive-myoclonic-4,-with-or-without-renal-failure,-254900-(3),-Autosomal-recessive
FAM50A	Intellectual-developmental-disorder,-X-linked-syndromic,-Armfield-type,-300261-(3),-X-linked-recessive
FAM71D	Molybdenum-cofactor-deficiency-C,-615501-(3),-Autosomal-recessive
FAM83H	Amelogenesis-imperfecta,-type-IIIA,-130900-(3),-Autosomal-dominant
FAN1	Interstitial-nephritis,-karyomegalic,-614817-(3),-Autosomal-recessive
FANCA	Fanconi-anemia,-complementation-group-A,-227650-(3),-Autosomal-recessive
FANCA,ZNF276	Fanconi-anemia,-complementation-group-A,-227650-(3),-Autosomal-recessive
FANCB	Fanconi-anemia,-complementation-group-B,-300514-(3),-X-linked-recessive
FANCC	Dystonia-31,-619565-(3),-Autosomal-recessive
FANCC	Fanconi-anemia,-complementation-group-C,-227645-(3),-Autosomal-recessive
FANCD2	Fanconi-anemia,-complementation-group-D2,-227646-(3),-Autosomal-recessive
FANCE	Fanconi-anemia,-complementation-group-E,-600901-(3),-Autosomal-recessive
FANCF	Fanconi-anemia,-complementation-group-F,-603467-(3),-Autosomal-recessive
FANCG	Fanconi-anemia,-complementation-group-G,-614082-(3),-Autosomal-recessive
FANCI	Fanconi-anemia,-complementation-group-I,-609053-(3),-Autosomal-recessive
FANCI	Mitochondrial-recessive-ataxia-syndrome-(includes-SANDO-and-SCAE),-607459-(3),-Autosomal-recessive;-Mitochondrial-DNA-depletion-syndrome-4B-(MNGIE-type),-613662-(3),-Autosomal-recessive;-Mitochondrial-DNA-depletion-syndrome-4A-(Alpers-type),-203700-(3),-Autosomal-recessive;-Progressive-external-ophthalmoplegia,-autosomal-dominant-1,-157640-(3),-Autosomal-dominant;-Progressive-external-ophthalmoplegia,-autosomal-recessive-1,-258450-(3),-Autosomal-recessive
FANCI,POLG	Fanconi-anemia,-complementation-group-I,-609053-(3),-Autosomal-recessive
FANCI,POLG	Mitochondrial-recessive-ataxia-syndrome-(includes-SANDO-and-SCAE),-607459-(3),-Autosomal-recessive;-Mitochondrial-DNA-depletion-syndrome-4B-(MNGIE-type),-613662-(3),-Autosomal-recessive;-Mitochondrial-DNA-depletion-syndrome-4A-(Alpers-type),-203700-(3),-Autosomal-recessive;-Progressive-external-ophthalmoplegia,-autosomal-dominant-1,-157640-(3),-Autosomal-dominant;-Progressive-external-ophthalmoplegia,-autosomal-recessive-1,-258450-(3),-Autosomal-recessive
FANCL	Fanconi-anemia,-complementation-group-L,-614083-(3),-Autosomal-recessive
FANCL,VRK2	Fanconi-anemia,-complementation-group-L,-614083-(3),-Autosomal-recessive
FANCM	Premature-ovarian-failure-15,-618096-(3),-Autosomal-recessive;-Spermatogenic-failure-28,-618086-(3),-Autosomal-recessive
FAR1	Peroxisomal-fatty-acyl-CoA-reductase-1-disorder,-616154-(3),-Autosomal-recessive;-Cataracts,-spastic-paraparesis,-and-speech-delay,-619338-(3),-Autosomal-dominant
FARS2	Combined-oxidative-phosphorylation-deficiency-14,-614946-(3),-Autosomal-recessive;-Spastic-paraplegia-77,-autosomal-recessive,-617046-(3),-Autosomal-recessive
FARSA	?Rajab-interstitial-lung-disease-with-brain-calcifications-2,-619013-(3),-Autosomal-recessive
FARSB	Rajab-interstitial-lung-disease-with-brain-calcifications-1,-613658-(3),-Autosomal-recessive
FAS	Smooth-muscle-dysfunction-syndrome,-613834-(3),-Autosomal-dominant;-Aortic-aneurysm,-familial-thoracic-6,-611788-(3),-Autosomal-dominant;-Moyamoya-disease-5,-614042-(3)
FAS	Squamous-cell-carcinoma,-burn-scar-related,-somatic-(3);-Autoimmune-lymphoproliferative-syndrome,-type-IA,-601859-(3),-Autosomal-dominant;-{Autoimmune-lymphoproliferative-syndrome},-601859-(3),-Autosomal-dominant
FASLG	Autoimmune-lymphoproliferative-syndrome,-type-IB,-601859-(3),-Autosomal-dominant;-{Lung-cancer,-susceptibility-to},-211980-(3),-Autosomal-dominant,-Somatic-mutation
FASTKD2	Combined-oxidative-phosphorylation-deficiency-44,-618855-(3),-Autosomal-recessive
FASTKD3	Homocystinuria-megaloblastic-anemia,-cbl-E-type,-236270-(3),-Autosomal-recessive;-{Neural-tube-defects,-folate-sensitive,-susceptibility-to},-601634-(3),-Autosomal-recessive
FASTKD5	Mitochondrial-complex-IV-deficiency,-nuclear-type-24,-621431-(3),-Autosomal-recessive
