gene	phenotyp
ABCD3	?Bile-acid-synthesis-defect,-congenital,-5,-616278-(3),-Autosomal-recessive;-Oculopharyngodistal-myopathy-5,-621446-(3),-Autosomal-dominant
ABCD4	Methylmalonic-aciduria-and-homocystinuria,-cblJ-type,-614857-(3),-Autosomal-recessive
ABCG2	[Junior-blood-group-system],-614490-(3);-[Uric-acid-concentration,-serum,-QTL1],-138900-(3),-?Autosomal-dominant
ABCG5	Short-rib-thoracic-dysplasia-15-with-polydactyly,-617088-(3),-Autosomal-recessive
ABCG5	Sitosterolemia-2,-618666-(3),-Autosomal-recessive
ABCG8	Sitosterolemia-1,-210250-(3),-Autosomal-recessive;-{Gallbladder-disease-4},-611465-(3)
ABCG8	Sitosterolemia-2,-618666-(3),-Autosomal-recessive
ABHD12	Polyneuropathy,-hearing-loss,-ataxia,-retinitis-pigmentosa,-and-cataract,-612674-(3),-Autosomal-recessive
ABHD14A-ACY1,ACY1	Aminoacylase-1-deficiency,-609924-(3),-Autosomal-recessive
ABHD16A	Spastic-paraplegia-86,-autosomal-recessive,-619735-(3),-Autosomal-recessive
ABHD5	Chanarin-Dorfman-syndrome,-275630-(3),-Autosomal-recessive
ABHD5	Spinocerebellar-ataxia,-autosomal-recessive-10,-613728-(3),-Autosomal-recessive
ABL1	Leukemia,-Philadelphia-chromosome-positive,-resistant-to-imatinib,-608232-(3),-Somatic-mutation;-Congenital-heart-defects-and-skeletal-malformations-syndrome,-617602-(3),-Autosomal-dominant
ABO	[Blood-group,-ABO-system],-616093-(3)
AC008878.3,CTD-2207O23.3	Retinitis-pigmentosa-78,-617433-(3),-Autosomal-recessive
AC015813.2,RP11-159D12.5	Neurodevelopmental-disorder-with-dysmorphic-facies-and-behavioral-abnormalities,-620489-(3),-Autosomal-dominant
AC108488.2,RP13-512J5.1	Progressive-external-ophthalmoplegia-with-mitochondrial-DNA-deletions,-autosomal-recessive-2,-616479-(3),-Autosomal-recessive
ACACA	Acetyl-CoA-carboxylase-deficiency,-613933-(3),-Autosomal-recessive
ACAD11,UBA5	?Spinocerebellar-ataxia,-autosomal-recessive-24,-617133-(3),-Autosomal-recessive;-Developmental-and-epileptic-encephalopathy-44,-617132-(3),-Autosomal-recessive
ACAD8	Isobutyryl-CoA-dehydrogenase-deficiency,-611283-(3),-Autosomal-recessive
ACAD9	Mitochondrial-complex-I-deficiency,-nuclear-type-20,-611126-(3),-Autosomal-recessive
ACADM	Acyl-CoA-dehydrogenase,-medium-chain,-deficiency-of,-201450-(3),-Autosomal-recessive
ACADS	Acyl-CoA-dehydrogenase,-short-chain,-deficiency-of,-201470-(3),-Autosomal-recessive
ACADSB	2-methylbutyrylglycinuria,-610006-(3),-Autosomal-recessive
ACADVL	Intellectual-developmental-disorder,-autosomal-dominant-62,-618793-(3),-Autosomal-dominant
ACADVL	VLCAD-deficiency,-201475-(3),-Autosomal-recessive
ACADVL,DLG4	Intellectual-developmental-disorder,-autosomal-dominant-62,-618793-(3),-Autosomal-dominant
ACADVL,DLG4	VLCAD-deficiency,-201475-(3),-Autosomal-recessive
ACAN	?Spondyloepiphyseal-dysplasia,-Kimberley-type,-608361-(3),-Autosomal-dominant;-Short-stature-and-advanced-bone-age,-with-or-without-early-onset-osteoarthritis-and/or-osteochondritis-dissecans,-165800-(3),-Autosomal-dominant;-Spondyloepimetaphyseal-dysplasia,-aggrecan-type,-612813-(3),-Autosomal-recessive
ACAT1	Alpha-methylacetoacetic-aciduria,-203750-(3),-Autosomal-recessive
ACAT2	?ACAT2-deficiency,-614055-(1),-Isolated-cases
ACAT2	Intellectual-developmental-disorder-with-polymicrogyria-and-seizures,-621021-(3),-Autosomal-dominant
ACAT2	{Microvascular-complications-of-diabetes-6},-612634-(3)
ACBD5	Retinal-dystrophy-with-leukodystrophy,-618863-(3),-Autosomal-recessive
ACBD6	Neurodevelopmental-disorder-with-progressive-movement-abnormalities,-620785-(3),-Autosomal-recessive
ACD	?Dyskeratosis-congenita,-autosomal-recessive-7,-616553-(3),-Autosomal-dominant,-Autosomal-recessive;-?Dyskeratosis-congenita,-autosomal-dominant-6,-616553-(3),-Autosomal-dominant,-Autosomal-recessive
ACD,CARMIL2	?Dyskeratosis-congenita,-autosomal-recessive-7,-616553-(3),-Autosomal-dominant,-Autosomal-recessive;-?Dyskeratosis-congenita,-autosomal-dominant-6,-616553-(3),-Autosomal-dominant,-Autosomal-recessive
ACD,CARMIL2	Immunodeficiency-58,-618131-(3),-Autosomal-recessive
ACE	Renal-tubular-dysgenesis,-267430-(3),-Autosomal-recessive;-{Microvascular-complications-of-diabetes-3},-612624-(3);-[Angiotensin-I-converting-enzyme,-benign-serum-increase],-621420-(3)
ACER3	?Leukodystrophy,-progressive,-early-childhood-onset,-617762-(3),-Autosomal-recessive
ACHE	[Blood-group,-Yt-system],-112100-(3)
ACKR1	[Blood-group,-Duffy-system],-110700-(3),-Autosomal-dominant,-Autosomal-recessive;-[White-blood-cell-count-QTL],-611862-(3),-Autosomal-recessive;-{Malaria,-vivax,-protection-against},-611162-(3)
ACKR3	?Oculomotor-abducens-synkinesis,-619215-(3),-Autosomal-recessive
ACO2	Optic-atrophy-9,-616289-(3),-Autosomal-dominant,-Autosomal-recessive;-Infantile-cerebellar-retinal-degeneration,-614559-(3),-Autosomal-recessive
ACOX1	Mitchell-syndrome,-618960-(3),-Autosomal-dominant;-Peroxisomal-acyl-CoA-oxidase-deficiency,-264470-(3),-Autosomal-recessive
ACOX2	Bile-acid-synthesis-defect,-congenital,-6,-617308-(3),-Autosomal-recessive
ACP2	?Lysosomal-acid-phosphatase-deficiency,-200950-(1),-Autosomal-recessive
ACP4	Amelogenesis-imperfecta,-type-IJ,-617297-(3),-Autosomal-recessive
ACP5	Spondyloenchondrodysplasia-with-immune-dysregulation,-607944-(3),-Autosomal-recessive
ACR	?Spermatogenic-failure-87,-620500-(3),-Autosomal-recessive
